fullName,description,latitude,longitude,activities,states,name,designation
Chaco Culture National Historical Park,"Today the massive buildings of the Ancestral Puebloan people still testify to the organizational and engineering abilities not seen anywhere else in the American Southwest. For a deeper contact with the canyon that was central to thousands of people between 850 and 1250 A.D., come and explore Chaco through guided tours, hiking & biking trails, evening campfire talks, and night sky programs.",36.03963414,-107.9560076,"['Astronomy', 'Camping', 'Guided Tours', 'Hiking']",NM,Chaco Culture,National Historical Park
Chamizal National Memorial,Chamizal is more than just an urban park to recreate or enjoy a quiet afternoon. These grounds are a reminder of the harmonious settlement of a 100-year boundary dispute between the United States and Mexico. We celebrate the cultures of the borderlands to promote the same mutual respect that helped to diplomatically resolve an international disagreement.,31.76729634,-106.4544011,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",TX,Chamizal,National Memorial
Channel Islands National Park,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.",33.98680093,-119.9112735,"['Astronomy', 'Stargazing', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Group Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Flying', 'Fixed Wing Flying', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",CA,Channel Islands,National Park
Charles Pinckney National Historic Site,"Charles Pinckney was a principal author and signer of the United States Constitution. This remnant of his coastal plantation is preserved to tell the story of a ""founding father,"" his life of public service, the lives of enslaved African Americans on South Carolina Lowcountry plantations and their influences on Charles Pinckney.",32.84577392,-79.82487582,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",SC,Charles Pinckney,National Historic Site
Charles Young Buffalo Soldiers National Monument,"Throughout his life, Charles Young overcame countless obstacles in his ascent to prominence. In spite of overt racism and stifling inequality, Young rose through the military ranks to become one of the most respected leaders of his time. A well-rounded man with a steadfast devotion to duty, Young led by example and inspired a generation of new leaders.",39.70817829,-83.89328575,"['Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Junior Ranger Program', 'Park Film']",OH,Charles Young Buffalo Soldiers,National Monument
Chattahoochee River National Recreation Area,"Today the river valley attracts us for so many reasons. Take a solitary walk to enjoy nature’s display, raft leisurely through the rocky shoals with friends, fish the misty waters as the sun comes up, or have a picnic on a Sunday afternoon. Get Outdoors and experience your Chattahoochee River National Recreation Area as you have never done before.",33.99698333,-84.28953177,"['Biking', 'Boating', 'Fishing', 'Hiking', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",GA,Chattahoochee River,National Recreation Area
Chesapeake & Ohio Canal National Historical Park,"Preserving America's early transportation history, the C&O Canal began as a dream of passage to Western wealth. Operating for nearly 100 years the canal was a lifeline for communities along the Potomac River as coal, lumber, and agricultural products floated down the waterway to market. Today it endures as a pathway for discovering historical, natural, and recreational treasures.",39.00028369,-77.24813995,"['Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping']","DC,MD,WV",Chesapeake & Ohio Canal,National Historical Park
Chesapeake Bay,"NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America. Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake.",38.971601,-76.483355,"['Boating', 'Compass and GPS', 'Geocaching', 'Guided Tours', 'Paddling', 'Junior Ranger Program', 'Wildlife Watching']","DC,DE,MD,NY,PA,VA,WV",Chesapeake Bay,
Chesapeake Bay Gateways and Watertrails Network,"The Chesapeake Bay Gateways and Watertrails Network connects you with the natural and cultural heritage of the Chesapeake Bay watershed through more than 170 exceptional parks, wildlife refuges, museums, sailing ships, historic communities, trails and more. Gateways Network partner sites and water trails are the special places where you can experience the authentic Chesapeake.",37.32212067,-76.25335693,[],"DC,MD,NY,PA,VA,WV",Chesapeake Bay Gateways and Watertrails Network,
Chickamauga & Chattanooga National Military Park,"In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy.""",34.94317623,-85.28749537,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Climbing', 'Rock Climbing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Canoeing', 'Kayaking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","GA,TN",Chickamauga & Chattanooga,National Military Park
Chickasaw National Recreation Area,"Springs, streams, lakes - whatever its form, water is the attraction at Chickasaw National Recreation Area.",34.46050507,-97.00715669,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Jet Skiing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Food', 'Picnicking', 'Hands-On', 'Volunteer Vacation', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",OK,Chickasaw,National Recreation Area
Chiricahua National Monument,"A ""Wonderland of Rocks"" is waiting for you to explore at Chiricahua National Monument. The 8-mile paved scenic drive and 17-miles of day-use hiking trails provide opportunities to discover the beauty, natural sounds, and inhabitants of this 12,025 acre site. Visit the Faraway Ranch Historic District to discover more about the people who have called this area home.",32.01214618,-109.341607,"['Astronomy', 'Stargazing', 'Camping', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",AZ,Chiricahua,National Monument
Christiansted National Historic Site,"No place in the Caribbean still demonstrates the architectural, economic, and political influence of Europe like Christiansted National Historic Site. Come wander through 18th century buildings in one the Caribbean's few urban parks. It is a unique experience that you will never forget.",17.73771903,-64.72906227,"['Arts and Culture', 'Live Music', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",VI,Christiansted,National Historic Site
City Of Rocks National Reserve,"Emigrants of the California Trail describe the rocks here in vivid detail as ""a city of tall spires,” “steeple rocks,"" and ""the silent city."" Today, this backcountry byway attracts rock climbers, campers, hikers, hunters, and those with the spirit of adventure. There's inspirational scenery, exceptional opportunities for geologic study, and remnants of the Old West awaiting your discovery.",42.0699024,-113.7124097,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Ice Climbing', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Ice Skating', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",ID,City Of Rocks,National Reserve
Civil War Defenses of Washington,"On forested hills surrounding the nation's capital are the remnants of a complex system of Civil War fortifications. These strategic buttresses transformed the young capital into one of the world's most fortified cities. By 1865, 68 forts and 93 batteries armed with over 800 cannons encircled Washington, DC. Today, you can visit 17 of the original sites now managed by the National Park Service.",38.9644,-77.0292,"['Arts and Culture', 'Theater', 'Biking', 'Mountain Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching']","DC,MD,VA",Civil War Defenses of Washington,
Clara Barton National Historic Site,"Clara Barton dedicated her life and energies to help others in times of need - both home and abroad, in peacetime as well as during military emergencies. Glen Echo was her home the last 15 years of her life and the structure illustrates her dedication and concern for those less fortunate than herself.",38.96762882,-77.14009689,"['Guided Tours', 'Museum Exhibits']",MD,Clara Barton,National Historic Site
Colonial National Historical Park,"On May 13, 1607, Jamestown was established as the first permanent English settlement in North America. Three cultures came together – European, Virginia Indian and African–to create a new society that would eventually seek independence from Great Britain. On October 19, 1781, American and French troops defeated the British at Yorktown in the last major battle of the American Revolutionary War.",37.22824435,-76.61998123,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",VA,Colonial,National Historical Park
Colorado National Monument,"Colorado National Monument preserves one of the grand landscapes of the American West. But this treasure is much more than a monument. Towering monoliths exist within a vast plateau and canyon panorama. You can experience sheer-walled, red rock canyons along the twists and turns of Rim Rock Drive, where you may spy bighorn sheep and soaring eagles.",39.05045016,-108.6920709,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Climbing', 'Rock Climbing', 'Hiking', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",CO,Colorado,National Monument
Coltsville National Historical Park,"When Samuel Colt started his Hartford factory on the banks of the Connecticut River in 1847, it followed years of mismanagement and failure. Soon, demand for Colt's revolver would change his fortunes and the Colt empire was born. Following Colt's untimely death in 1862, his wife, Elizabeth Colt, would lead the company to its legendary status, and influence Hartford for over 40 years.",42.46775055,-73.20366669,[],CT,Coltsville,National Historical Park
Congaree National Park,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees.",33.79187523,-80.74867805,"['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",SC,Congaree,National Park
Constitution Gardens,"Officially established in 1965, National Mall and Memorial Parks actually protects some of the older parkland in the National Park System. Areas within this premier park provide visitors with ample opportunities to commemorate presidential legacies; honor the courage and sacrifice of war veterans; and celebrate the United States commitment to freedom and equality.",38.8909354,-77.04409306,['Junior Ranger Program'],DC,Constitution Gardens,
Coronado National Memorial,"It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today.",31.34900397,-110.2561574,"['Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Caving', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",AZ,Coronado,National Memorial
Cowpens National Battlefield,"“…our success was complete…” -- Daniel Morgan to Nathanael Greene, January 19, 1781 A pasturing area at the time of the battle, this Revolutionary War site commemorates the place where Daniel Morgan and his army turned the flanks of Banastre Tarleton's British army. This classic military tactic, known as a double envelopment, was one of only a few in history.",35.13160654,-81.80935433,"['Biking', 'Road Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",SC,Cowpens,National Battlefield
Crater Lake National Park,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.",42.94065854,-122.1338414,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'RV Camping', 'Compass and GPS', 'Orienteering', 'Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",OR,Crater Lake,National Park
Craters Of The Moon National Monument & Preserve,"Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow.",43.20345611,-113.4791609,"['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Group Camping', 'Caving', 'Hiking', 'Backcountry Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",ID,Craters Of The Moon,National Monument & Preserve
Cumberland Gap National Historical Park,"At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.",36.62503076,-83.6114083,"['Biking', 'Camping', 'Caving', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Wildlife Watching', 'Park Film', 'Shopping', 'Bookstore and Park Store']","KY,TN,VA",Cumberland Gap,National Historical Park
Cumberland Island National Seashore,"St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here. Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness.",30.85857484,-81.45253575,"['Biking', 'Boating', 'Camping', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",GA,Cumberland Island,National Seashore
Curecanti National Recreation Area,"Curecanti National Recreation Area is a series of three reservoirs along the once wild Gunnison River. The reservoirs that make up Curecanti today are a destination for water-based recreation high in the Rocky Mountains. Best known for salmon and trout fishing, Curecanti also offers opportunities for hiking, boating, camping, and bird watching.",38.46584558,-107.3303371,"['Boating', 'Boat Tour', 'Camping', 'Fishing', 'Fly Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Swimming', 'Wildlife Watching', 'Birdwatching']",CO,Curecanti,National Recreation Area
Cuyahoga Valley National Park,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.",41.26093905,-81.57116722,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Biking', 'Mountain Biking', 'Camping', 'Fishing', 'Food', 'Picnicking', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Snow Play', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",OH,Cuyahoga Valley,National Park
César E. Chávez National Monument,"Yes, we can! Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions",35.22729389,-118.5615781,"['Junior Ranger Program', 'Park Film']",CA,César E. Chávez,National Monument
Dayton Aviation Heritage National Historical Park,"Three exceptional men from Dayton, Ohio, Wilbur Wright, Orville Wright and Paul Laurence Dunbar, found their creative outlet here through accomplishments and failures, and finally success. However, these men offered the world something far greater, they offered the world hope, and the ability to take a dream and make it a reality.",39.78944467,-84.10442045,"['Biking', 'Road Biking', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",OH,Dayton Aviation Heritage,National Historical Park
De Soto National Memorial,"In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.",27.52272613,-82.64335416,"['Fishing', 'Saltwater Fishing', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Paddling', 'Kayaking', 'Shopping', 'Bookstore and Park Store']",FL,De Soto,National Memorial
Death Valley National Park,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.",36.48753731,-117.134395,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Canyoneering', 'Food', 'Flying', 'Golfing', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","CA,NV",Death Valley,National Park
Delaware Water Gap National Recreation Area,"Paddlers glide along between low forested mountains; anglers wade the trout streams; hikers scan the valley from the ridges, or peer into the 1000-foot-deep Water Gap. This valley has known human hand and voice for over 10,000 years. Floodplains nourished the Native farmer; waterfalls drew the Victorian vacationer. Today, this 70,000+ acre park welcomes those who seek the outdoors close to home.",41.12793491,-74.94751173,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","NJ,PA",Delaware Water Gap,National Recreation Area
Denali National Park & Preserve,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.",63.29777484,-151.0526568,"['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Mountain Climbing', 'Dog Sledding', 'Flying', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Gathering and Foraging', 'Hunting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching', 'Park Film']",AK,Denali,National Park & Preserve
Devils Postpile National Monument,"Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery. The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its' columns tower up to 60 feet and display a striking symmetry.",37.6152564,-119.0873903,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching']",CA,Devils Postpile,National Monument
Devils Tower National Monument,"The Tower is an astounding geologic feature that protrudes out of the prairie surrounding the Black Hills. It is considered sacred by Northern Plains Indians and indigenous people. Hundreds of parallel cracks make it one of the finest crack climbing areas in North America. Devils Tower entices us to learn more, explore more and define our place in the natural and cultural world.",44.59064655,-104.7156341,"['Astronomy', 'Stargazing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Climbing', 'Rock Climbing', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']",WY,Devils Tower,National Monument
Dinosaur National Monument,"Dinosaurs once roamed here. Their fantastic remains are still visible embedded in the rocks. Today, the mountains, desert and untamed rivers flowing in deep canyons, support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore.",40.50739742,-108.9333714,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Whitewater Rafting', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']","CO,UT",Dinosaur,National Monument
Dry Tortugas National Park,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands. Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.",24.628741,-82.87319,"['Astronomy', 'Stargazing', 'Boating', 'Camping', 'Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Guided Tours', 'Paddling', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",FL,Dry Tortugas,National Park
Dwight D. Eisenhower Memorial,The Dwight D. Eisenhower Memorial tells the story of one of America's greatest leaders of the 20th century.,38.88694766,-77.01873755,"['Guided Tours', 'Self-Guided Tours - Walking']",DC,Dwight D. Eisenhower,Memorial
Ebey's Landing National Historical Reserve,"This stunning landscape at the gateway to Puget Sound, with its rich farmland and promising seaport, lured the earliest American pioneers north of the Columbia River to Ebey’s Landing. Today Ebey’s Landing National Historical Reserve preserves the historical, agricultural and cultural traditions of both Native and Euro-American – while offering spectacular opportunities for recreation.",48.21403036,-122.6877213,"['Astronomy', 'Stargazing', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Sailing', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping']",WA,Ebey's Landing,National Historical Reserve
Edgar Allan Poe National Historic Site,"Described as horrifying, mystifying, and brilliant, Poe’s writing has engaged readers all over the globe. The six years Edgar Allan Poe lived in Philadelphia were his happiest and most productive. Yet Poe also struggled with bad luck, personal demons and his wife’s illness. In Poe’s humble home, reflect on the human spirit surmounting crushing obstacles, and celebrate Poe’s astonishing creativity.",39.96195482,-75.1500062,"['Guided Tours', 'Junior Ranger Program']",PA,Edgar Allan Poe,National Historic Site
Effigy Mounds National Monument,"The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.",43.08095081,-91.19687517,"['Guided Tours', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",IA,Effigy Mounds,National Monument
