,fullName,activities
100,Congaree National Park,"Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
101,Constitution Gardens,Junior Ranger Program
102,Coronado National Memorial,"Auto and ATV, Scenic Driving, Biking, Road Biking, Caving, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
103,Cowpens National Battlefield,"Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Junior Ranger Program, Park Film, Museum Exhibits"
104,Crater Lake National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Car or Front Country Camping, RV Camping, Compass and GPS, Orienteering, Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
105,Craters Of The Moon National Monument & Preserve,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Group Camping, Caving, Hiking, Backcountry Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
106,Cumberland Gap National Historical Park,"Biking, Camping, Caving, Guided Tours, Hiking, Backcountry Hiking, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store"
107,Cumberland Island National Seashore,"Biking, Boating, Camping, Guided Tours, Hiking, Hunting and Gathering, Hunting, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching"
108,Curecanti National Recreation Area,"Boating, Boat Tour, Camping, Fishing, Fly Fishing, Guided Tours, Boat Tour, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Swimming, Wildlife Watching, Birdwatching"
109,Cuyahoga Valley National Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Biking, Mountain Biking, Camping, Fishing, Food, Picnicking, Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Downhill Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
110,César E. Chávez National Monument,"Junior Ranger Program, Park Film"
111,Dayton Aviation Heritage National Historical Park,"Biking, Road Biking, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
112,De Soto National Memorial,"Fishing, Saltwater Fishing, Living History, Reenactments, Historic Weapons Demonstration, Paddling, Kayaking, Shopping, Bookstore and Park Store"
113,Death Valley National Park,"Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Canyoneering, Food, Flying, Golfing, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Living History, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
114,Delaware Water Gap National Recreation Area,"Arts and Culture, Auto and ATV, Scenic Driving, Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
115,Denali National Park & Preserve,"Arts and Culture, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Mountain Climbing, Dog Sledding, Flying, Guided Tours, Bus/Shuttle Guided Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Gathering and Foraging, Hunting, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Wildlife Watching, Park Film"
116,Devils Postpile National Monument,"Astronomy, Stargazing, Biking, Road Biking, Camping, Car or Front Country Camping, Fishing, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching"
117,Devils Tower National Monument,"Astronomy, Stargazing, Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Rock Climbing, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching"
118,Dinosaur National Monument,"Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Fishing, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Whitewater Rafting, Junior Ranger Program, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
119,Dry Tortugas National Park,"Astronomy, Stargazing, Boating, Camping, Fishing, Fly Fishing, Saltwater Fishing, Guided Tours, Paddling, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
120,Dwight D. Eisenhower Memorial,"Guided Tours, Self-Guided Tours - Walking"
121,Ebey's Landing National Historical Reserve,"Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Boating, Sailing, Camping, Car or Front Country Camping, Group Camping, Fishing, Saltwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping"
122,Edgar Allan Poe National Historic Site,"Guided Tours, Junior Ranger Program"
123,Effigy Mounds National Monument,"Guided Tours, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
124,Eisenhower National Historic Site,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Living History, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
125,El Camino Real de Tierra Adentro National Historic Trail,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Hiking, Museum Exhibits"
126,El Camino Real de los Tejas National Historic Trail,"Auto and ATV, Scenic Driving, Museum Exhibits"
127,El Malpais National Monument,"Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Camping, Backcountry Camping, Caving, Guided Tours, Self-Guided Tours - Walking, Hiking, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store"
128,El Morro National Monument,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Camping, Car or Front Country Camping, RV Camping, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Park Film, Museum Exhibits"
129,Eleanor Roosevelt National Historic Site,"Guided Tours, Hands-On, Citizen Science, Hiking, Museum Exhibits, Shopping, Bookstore and Park Store"
130,Ellis Island Part of Statue of Liberty National Monument,"Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
131,Eugene O'Neill National Historic Site,"Arts and Culture, Theater, Guided Tours, Self-Guided Tours - Walking, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
132,Everglades National Park,"Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, RV Camping, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
133,Federal Hall National Memorial,"Arts and Culture, Guided Tours, Junior Ranger Program, Museum Exhibits, Shopping"
134,Fire Island National Seashore,"Arts and Culture, Boating, Boat Tour, Camping, Backcountry Camping, Fishing, Guided Tours, Hiking, Hunting and Gathering, Hunting, Junior Ranger Program, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching"
135,First Ladies National Historic Site,"Guided Tours, Living History, First Person Interpretation, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
136,First State National Historical Park,"Biking, Mountain Biking, Fishing, Freshwater Fishing, Food, Picnicking, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Junior Ranger Program"
137,Flight 93 National Memorial,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program"
138,Florissant Fossil Beds National Monument,"Astronomy, Stargazing, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
139,Ford's Theatre,"Arts and Culture, Theater, Guided Tours, Junior Ranger Program"
140,Fort Bowie National Historic Site,"Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
141,Fort Davis National Historic Site,"Arts and Culture, Craft Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
142,Fort Donelson National Battlefield,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Junior Ranger Program, Park Film, Museum Exhibits"
143,Fort Dupont Park,"Arts and Culture, Live Music, Biking, Mountain Biking, Food, Picnicking, Junior Ranger Program, Wildlife Watching"
144,Fort Foote Park,"Wildlife Watching, Birdwatching"
145,Fort Frederica National Monument,"Biking, Guided Tours, Hiking"
146,Fort Laramie National Historic Site,"Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Historic Weapons Demonstration, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
147,Fort Larned National Historic Site,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
148,Fort Matanzas National Monument,"Fishing, Saltwater Fishing, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program"
149,Fort McHenry National Monument and Historic Shrine,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Biking, Road Biking, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Paddling, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Downhill Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
150,Fort Monroe National Monument,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
151,Fort Necessity National Battlefield,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
152,Fort Point National Historic Site,"Arts and Culture, Theater, Fishing, Living History, Historic Weapons Demonstration, Park Film, Museum Exhibits"
153,Fort Pulaski National Monument,"Biking, Mountain Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits"
154,Fort Raleigh National Historic Site,"Arts and Culture, Theater, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
155,Fort Scott National Historic Site,"Guided Tours, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
156,Fort Smith National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
157,Fort Stanwix National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Snow Play, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
158,Fort Sumter and Fort Moultrie National Historical Park,"Astronomy, Stargazing, Boating, Boat Tour, Fishing, Saltwater Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Citizen Science, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
159,Fort Union National Monument,"Guided Tours, Self-Guided Tours - Walking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Shopping, Bookstore and Park Store"
160,Fort Union Trading Post National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Living History, Reenactments, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
161,Fort Vancouver National Historic Site,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Biking, Guided Tours, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Playground, Wildlife Watching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
162,Fort Washington Park,"Fishing, Food, Picnicking, Living History, Historic Weapons Demonstration, Shopping, Bookstore and Park Store"
163,Fossil Butte National Monument,"Auto and ATV, Scenic Driving, Hiking, Junior Ranger Program, Wildlife Watching, Museum Exhibits, Shopping, Bookstore and Park Store"
164,Franklin Delano Roosevelt Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
165,Frederick Douglass National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
166,Frederick Law Olmsted National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits"
167,Fredericksburg & Spotsylvania National Military Park,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
168,Freedom Riders National Monument,"Guided Tours, Self-Guided Tours - Auto"
169,Friendship Hill National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits"
170,Gates Of The Arctic National Park & Preserve,"Camping, Backcountry Camping, Canoe or Kayak Camping, Climbing, Rock Climbing, Mountain Climbing, Hiking, Backcountry Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Whitewater Rafting"
171,Gateway Arch National Park,"Astronomy, Stargazing, Biking, Road Biking, Food, Dining, Picnicking, Guided Tours, Boat Tour, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
172,Gateway National Recreation Area,"Biking, Boating, Camping, Fishing, Guided Tours, Paddling, Kayaking, Swimming, Saltwater Swimming"
173,Gauley River National Recreation Area,"Boating, Camping, Car or Front Country Camping, RV Camping, Fishing, Freshwater Fishing, Paddling, Kayaking, Whitewater Rafting, Junior Ranger Program"
174,General Grant National Memorial,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
175,George Rogers Clark National Historical Park,"Astronomy, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
176,George Washington Birthplace National Monument,"Arts and Culture, Biking, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Horse Trekking, Horseback Riding, Paddling, Junior Ranger Program, Shopping, Bookstore and Park Store"
177,George Washington Carver National Monument,"Arts and Culture, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Junior Ranger Program, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
178,George Washington Memorial Parkway,"Arts and Culture, Live Music, Biking, Road Biking, Food, Picnicking, Wildlife Watching, Birdwatching"
179,Gettysburg National Military Park,"Arts and Culture, Auto and ATV, Scenic Driving, Biking, Camping, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Hiking, Horse Trekking, Horseback Riding, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
180,Gila Cliff Dwellings National Monument,"Astronomy, Camping, Car or Front Country Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
181,Glacier Bay National Park & Preserve,"Arts and Culture, Cultural Demonstrations, Auto and ATV, ATV Off-Roading, Boating, Motorized Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Climbing, Mountain Climbing, Fishing, Food, Flying, Guided Tours, Boat Tour, Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Kayaking, Whitewater Rafting, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
182,Glacier National Park,"Arts and Culture, Cultural Demonstrations, Live Music, Theater, Auto and ATV, Scenic Driving, Astronomy, Biking, Road Biking, Boating, Motorized Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Climbing, Mountain Climbing, Fishing, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Paddling, Canoe or Kayak Camping, Stand Up Paddleboarding, Whitewater Rafting, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Swimming, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
183,Glen Canyon National Recreation Area,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Jet Skiing, Boat Tour, Camping, Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Auto, Boat Tour, Hands-On, Volunteer Vacation, Hiking, Paddling, Kayaking, Junior Ranger Program, Swimming, Shopping, Bookstore and Park Store"
184,Glen Echo Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Guided Tours"
185,Gloria Dei Church National Historic Site,Museum Exhibits
186,Golden Gate National Recreation Area,"Arts and Culture, Biking, Mountain Biking, Camping, Car or Front Country Camping, Group Camping, Fishing, Saltwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Junior Ranger Program, Surfing, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
187,Golden Spike National Historical Park,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Reenactments, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
188,Governors Island National Monument,"Biking, Road Biking, Food, Picnicking, Guided Tours, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
189,Grand Canyon National Park,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Boating, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Compass and GPS, Fishing, Food, Flying, Guided Tours, Hands-On, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Living History, Paddling, Whitewater Rafting, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
190,Grand Canyon-Parashant National Monument,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Compass and GPS, Orienteering, Flying, Helicopter Flying, Fixed Wing Flying, Hiking, Backcountry Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Snowshoeing, Wildlife Watching, Birdwatching, Museum Exhibits"
191,Grand Portage National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Camping, Backcountry Camping, Group Camping, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Reenactments, Junior Ranger Program, Skiing, Cross-Country Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
192,Grand Teton National Park,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Climbing, Rock Climbing, Mountain Climbing, Ice Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Auto, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Water Skiing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
193,Grant-Kohrs Ranch National Historic Site,"Guided Tours, Hiking, Front-Country Hiking, Living History, Wildlife Watching, Birdwatching"
194,Great Basin National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Caving, Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Skiing, Cross-Country Skiing, Downhill Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
195,Great Egg Harbor River,"Astronomy, Stargazing, Biking, Boating, Camping, Fishing, Freshwater Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Tubing, River Tubing, Wildlife Watching, Birdwatching"
196,Great Falls Park,"Guided Tours, Hiking, Paddling, Kayaking, Park Film"
197,Great Sand Dunes National Park & Preserve,"Arts and Culture, Craft Demonstrations, Live Music, Auto and ATV, Auto Off-Roading, Astronomy, Stargazing, Biking, Mountain Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Climbing, Mountain Climbing, Compass and GPS, Orienteering, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Hands-On, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Junior Ranger Program, Tubing, River Tubing, Skiing, Cross-Country Skiing, Downhill Skiing, Snow Play, Snowshoeing, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
198,Great Smoky Mountains National Park,"Arts and Culture, Live Music, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
199,Green Springs,"Auto and ATV, Scenic Driving, Biking"
200,Greenbelt Park,"Camping, Group Camping, RV Camping, Food, Picnicking, Hiking, Front-Country Hiking, Junior Ranger Program, Playground, Wildlife Watching"
201,Guadalupe Mountains National Park,"Auto and ATV, Auto Off-Roading, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits"
202,Guilford Courthouse National Military Park,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Junior Ranger Program, Park Film, Museum Exhibits"
